startMonth,startDay,startYear,endMonth,endDay,endYear,wikiUrl,text,fontSize,fontFamily,bold,color,backgroundColor,croptop,cropright,cropbottom,cropleft,positiontop,positionleft,scale,height,verticalOffset,textWeek,zIndexOverride
5,18,1863,7,4,1863,https://en.wikipedia.org/wiki/Siege_of_Vicksburg,VICKSBURG SIEGE,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,20%,1,0.8,0,"2,5",20
7,1,1863,7,3,1863,https://en.wikipedia.org/wiki/Battle_of_Gettysburg,GETTYSBURG,2.1em,Arial,TRUE,white,darkblue,30,0,10,0,40%,2%,1,0.8,25,1,20
7,11,1863,7,16,1863,https://en.wikipedia.org/wiki/New_York_City_draft_riots,NY DRAFT RIOTS,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,10%,1,0.8,0,2,20
9,18,1863,9,20,1863,https://cdn.britannica.com/72/159972-050-7EEE3840/Fort-Wagner-work-Kurz-fort-Allison-July-18-1863.jpg,CHICKAMAUGA,1.3EM,Arial,TRUE,black,LightGray,30,0,10,0,55%,0%,1,0.8,0,1,20
9,21,1863,11,25,1863,https://en.wikipedia.org/wiki/Chattanooga_campaign,CHATTANOOGA,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,30%,1,0.8,0,"1,4,9",20
10,13,1863,11,7,1863,https://en.wikipedia.org/wiki/Bristoe_campaign,BRISTOE,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,35%,1,0.8,25,"2,4",20
11,27,1863,12,2,1863,https://en.wikipedia.org/wiki/Battle_of_Mine_Run,MINE RUN,1.5EM,Arial,TRUE,white,GREY,30,0,10,0,52%,13%,1,0.8,0,"2,3",20
5,5,1864,5,7,1864,https://en.wikipedia.org/wiki/Battle_of_the_Wilderness,WILDERNESS,1.5EM,Arial,TRUE,white,GREY,30,0,10,0,52%,18%,1,0.8,0,1,20
5,9,1864,5,21,1864,https://en.wikipedia.org/wiki/Battle_of_Spotsylvania_Court_House,BATTLE OF SPOTS COURT HOUSE,2EM,Arial,TRUE,white,GREY,30,0,10,0,45%,2%,1,0.8,0,2,20
5,23,1864,5,26,1864,https://en.wikipedia.org/wiki/Battle_of_North_Anna,NORTH ANNA,2EM,Arial,TRUE,white,GREY,30,0,10,0,45%,17%,1,0.8,0,1,20
5,28,1864,5,30,1864,https://en.wikipedia.org/wiki/Battle_of_Totopotomoy_Creek,TOP CREEK,1.5EM,Arial,TRUE,white,GREY,30,0,10,0,52%,7%,1,0.8,0,2,20
5,31,1864,6,12,1864,https://en.wikipedia.org/wiki/Battle_of_Cold_Harbor,COLD HARBOR,2.4em,Arial,TRUE,black,LightGray,30,0,10,0,40%,10%,1,0.8,25,3,21
6,9,1864,6,18,1864,https://en.wikipedia.org/wiki/Siege_of_Petersburg,PETERSBURG STARTS,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,18%,1,0.8,-10,2,20
6,17,1864,6,18,1864,https://en.wikipedia.org/wiki/Battle_of_Lynchburg,LYNCHBURG,1.5EM,Arial,TRUE,black,LightGray,35,0,10,0,52%,3%,1,0.8,30,1,20
7,11,1864,7,12,1864,https://en.wikipedia.org/wiki/Battle_of_Fort_Stevens,FT. STEVENS,1.5EM,Arial,TRUE,black,lightblue,30,0,10,0,40%,3%,1,0.8,0,1,20
11,15,1864,12,21,1864,https://en.wikipedia.org/wiki/Sherman%27s_March_to_the_Sea,MARCH TO THE SEA,2.3em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,45%,15%,1,0.8,0,"2,5",20
1,1,1865,1,7,1865,https://en.wikipedia.org/wiki/Carolinas_campaign,CAROLINAS CAMPAIGN STARTS,2.2em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,45%,1%,1,0.8,0,1,20
3,19,1865,3,25,1865,https://en.wikipedia.org/wiki/Siege_of_Petersburg,PETERSBURG ENDS,2.4em,Arial,TRUE,black,lightblue,30,0,10,0,40%,18%,1,0.8,0,1,20
4,23,1865,4,26,1865,https://en.wikipedia.org/wiki/Carolinas_campaign,CAROLINA ENDS,2.2em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,45%,5%,1,0.8,0,1,20
